שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
אבן העוזר על עבודה זרה.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על עבודה זרה.txt,Dicta,4
אבן העוזר על שבועות.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על שבועות.txt,Dicta,5
אבן העוזר על זבים.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על זבים.txt,Dicta,6
אבן העוזר על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על עירובין.txt,Dicta,206
אבן העוזר על ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על ביצה.txt,Dicta,75
אבן העוזר על ראש השנה.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על ראש השנה.txt,Dicta,5
אבן העוזר על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על בבא בתרא.txt,Dicta,23
אבן העוזר על שבת.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על שבת.txt,Dicta,159
אבן העוזר על הוריות.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על הוריות.txt,Dicta,6
אבן העוזר על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על בבא מציעא.txt,Dicta,36
אבן העוזר על מגילה.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על מגילה.txt,Dicta,6
אבן העוזר על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על בבא קמא.txt,Dicta,17
אבן העוזר על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על פסחים.txt,Dicta,169
אבן העוזר על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על קידושין.txt,Dicta,20
אבן העוזר על סוכה.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על סוכה.txt,Dicta,11
אבן העוזר על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר/אבן העוזר על ברכות.txt,Dicta,59
שפת אמת על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר מועד/שפת אמת על פסחים.txt,Dicta,917
שפת אמת על שבת.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר מועד/שפת אמת על שבת.txt,Dicta,1848
שפת אמת על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר מועד/שפת אמת על עירובין.txt,Dicta,566
שפת אמת על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר זרעים/שפת אמת על ברכות.txt,Dicta,52
שפת אמת על תמורה.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על תמורה.txt,Dicta,244
שפת אמת על מנחות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על מנחות.txt,Dicta,1013
שפת אמת על כריתות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על כריתות.txt,Dicta,190
שפת אמת על מעילה.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על מעילה.txt,Dicta,110
שפת אמת על בכורות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על בכורות.txt,Dicta,177
שפת אמת על זבחים.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על זבחים.txt,Dicta,932
שפת אמת על ערכין.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על ערכין.txt,Dicta,194
תקנת עזרא (מעילה).txt,אוצריא/תלמוד בבלי/אחרונים/תקנת עזרא/תקנת עזרא (מעילה).txt,Dicta,664
תקנת עזרא (מעילה תנינא).txt,אוצריא/תלמוד בבלי/אחרונים/תקנת עזרא/תקנת עזרא (מעילה תנינא).txt,Dicta,387
תקנת עזרא (מעילה תיקון חשוב).txt,אוצריא/תלמוד בבלי/אחרונים/תקנת עזרא/תקנת עזרא (מעילה תיקון חשוב).txt,Dicta,533
ראש יוסף על חולין.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/ראש יוסף על חולין.txt,Dicta,2372
ראש יוסף על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/ראש יוסף על פסחים.txt,Dicta,865
ראש יוסף על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/ראש יוסף על ברכות.txt,Dicta,926
‏‏ראש יוסף על ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/‏‏ראש יוסף על ביצה.txt,Dicta,865
ערוך לנר על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/ערוך לנר/סדר נשים/ערוך לנר על יבמות.txt,Dicta,3338
תורת חיים על שבועות.txt,אוצריא/תלמוד בבלי/אחרונים/תורת חיים/תורת חיים על שבועות.txt,Dicta,248
תורת חיים על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/תורת חיים/תורת חיים על בבא בתרא.txt,Dicta,780
תורת חיים על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/תורת חיים/תורת חיים על בבא קמא.txt,Dicta,701
תורת חיים על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/תורת חיים/תורת חיים על סנהדרין.txt,Dicta,687
תורת חיים על עבודה זרה.txt,אוצריא/תלמוד בבלי/אחרונים/תורת חיים/תורת חיים על עבודה זרה.txt,Dicta,359
תורת חיים על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/תורת חיים/תורת חיים על בבא מציעא.txt,Dicta,704
תורת חיים על חולין.txt,אוצריא/תלמוד בבלי/אחרונים/תורת חיים/תורת חיים על חולין.txt,Dicta,664
תורת חיים על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/תורת חיים/תורת חיים על פסחים.txt,Dicta,50
תורת חיים על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/תורת חיים/תורת חיים על עירובין.txt,Dicta,387
קרן אורה על שבת.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר מועד/קרן אורה על שבת.txt,Dicta,176
קרן אורה על מועד קטן.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר מועד/קרן אורה על מועד קטן.txt,Dicta,319
קרן אורה על תענית.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר מועד/קרן אורה על תענית.txt,Dicta,231
קרן אורה על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר מועד/קרן אורה על עירובין.txt,Dicta,618
קרן אורה ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר זרעים/קרן אורה ברכות.txt,Dicta,141
קרן אורה על הוריות.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נזיקין/קרן אורה על הוריות.txt,Dicta,186
קרן אורה על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נזיקין/קרן אורה על סנהדרין.txt,Dicta,76
קרן אורה על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נשים/קרן אורה על יבמות.txt,Dicta,1444
קרן אורה על נדרים.txt,אוצריא/תלמוד בבלי/אחרונים/קרן אורה/סדר נשים/קרן אורה על נדרים.txt,Dicta,1172
